epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase
30,q_high_mchirp_high,1123,1.82768,0.0110589,0.978987,1.53164,1.62124,0.689769,0.929768,0.709555,0.0836945,-0.0589005,1.08907,1.00592,0.996645,1.18492,0.961657
35,full,5000,1.53629,0.0122329,0.933793,1.53994,1.57274,0.909116,0.905434,0.730468,0.0836724,-0.00896556,0.989233,0.992388,0.991312,1.16884,0.982479
35,snr_low,1667,2.25785,0.0149726,0.873242,1.54206,1.54308,0.813094,0.835612,-1.14183,0.0920708,-0.0271874,0.944777,0.98567,1.52087,1.10616,1.04427
35,snr_mid,1666,1.3413,0.0114101,1.07558,1.53245,1.58108,0.942526,0.930586,-1.85762,0.0853982,-0.00498209,0.998727,0.995415,2.00367,1.19856,0.957843
35,snr_high,1667,1.00961,0.0103154,0.852644,1.54532,1.59407,0.968025,0.949105,-1.08842,0.0735824,0.00366457,1.01932,0.99616,1.5493,1.1968,0.946694
35,mchirp_low,2500,1.25688,0.0134664,0.939939,1.55901,1.54501,0.733609,0.8753,0.723559,0.0754449,0.011909,1.03829,0.990625,0.988526,1.141,0.984435
35,mchirp_high,2500,1.8157,0.0109994,0.927647,1.52088,1.60047,0.680661,0.935658,0.737272,0.0919468,-0.0301613,1.07966,0.993895,0.993732,1.19616,0.98057
35,merger_early,2500,1.51816,0.0123539,0.947018,1.555,1.57908,0.911067,0.593717,0.716812,0.0865632,-0.00180359,0.997683,1.09166,0.993283,1.12532,0.979347
35,merger_late,2500,1.55443,0.0121119,0.920568,1.52489,1.5664,0.907171,0.654428,0.743758,0.0806544,-0.0163575,0.980669,1.08252,0.989433,1.21226,0.984989
35,q_low,1667,1.40852,0.0120225,0.904174,1.56568,1.55362,0.782117,0.915245,0.748944,0.0382725,0.028219,1.07846,0.990864,0.983056,1.18686,0.97364
35,q_mid,1666,1.53736,0.0122203,0.909394,1.54362,1.54058,0.891221,0.905363,0.742818,0.088233,0.00478038,1.03404,0.991913,0.985806,1.16816,0.993968
35,q_high,1667,1.66299,0.0124558,0.987796,1.51054,1.624,0.919424,0.895379,0.698778,0.12433,-0.0608662,0.987539,0.994139,1.00568,1.15106,0.979465
35,q_low_mchirp_low,1241,1.28212,0.0122607,0.908641,1.56922,1.53709,0.595758,0.907371,0.745705,0.0566283,0.0327278,1.15448,0.991883,0.974138,1.17211,0.98593
35,q_low_mchirp_high,426,1.77675,0.0113285,0.891163,1.55535,1.60178,-0.71834,0.938676,0.758434,-0.0208807,0.0146636,1.59154,0.988349,1.00868,1.23283,0.939045
35,q_high_mchirp_low,544,1.29802,0.0156337,1.01295,1.54484,1.61324,0.777558,0.818518,0.671819,0.114274,-0.0505623,0.905583,0.975513,1.01251,1.09557,0.970975
35,q_high_mchirp_high,1123,1.83979,0.0109164,0.975611,1.49392,1.62922,0.692738,0.931036,0.711294,0.129257,-0.0661278,1.0956,1.00135,1.00108,1.17706,0.982988
40,full,5000,1.54551,0.0122255,0.932037,1.54589,1.57203,0.908184,0.905047,0.731615,0.0597682,-0.00978759,0.989898,0.985585,0.977653,1.19867,0.978889
40,snr_low,1667,2.27099,0.0150394,0.862552,1.53787,1.53967,0.811282,0.834444,-1.0943,0.0824513,-0.0209838,0.943577,0.981103,1.49348,1.13849,1.02825
40,snr_mid,1666,1.34687,0.0113944,1.05989,1.54486,1.58235,0.942143,0.929624,-1.78656,0.0532594,-0.00998107,0.999324,0.989396,1.97449,1.23148,0.953362
40,snr_high,1667,1.01854,0.0102422,0.87375,1.55493,1.59409,0.967375,0.950073,-1.17689,0.0436382,0.00051157,1.02146,0.986295,1.54829,1.22091,0.956972
40,mchirp_low,2500,1.26017,0.0134718,0.939097,1.56898,1.54521,0.733666,0.874156,0.724402,0.0483193,0.00944703,1.03848,0.982501,0.97866,1.17734,0.981645
40,mchirp_high,2500,1.83084,0.0109792,0.924977,1.52279,1.59886,0.675822,0.936031,0.73872,0.0713108,-0.0293579,1.0816,0.988348,0.976407,1.21937,0.976294
40,merger_early,2500,1.52627,0.0123161,0.94364,1.549,1.5778,0.910292,0.595054,0.719134,0.0758145,-0.0031066,0.997644,1.08582,0.979892,1.15244,0.979474
40,merger_late,2500,1.56474,0.0121349,0.920434,1.54277,1.56626,0.906084,0.650213,0.743759,0.0430729,-0.0166903,0.981956,1.07982,0.975519,1.24484,0.978258
40,q_low,1667,1.41334,0.0119922,0.902511,1.5735,1.55303,0.781,0.915496,0.750054,0.0128192,0.0253779,1.08087,0.983934,0.971613,1.22026,0.966199
40,q_mid,1666,1.54574,0.012217,0.905452,1.5463,1.54312,0.890147,0.904804,0.744571,0.0683171,0.0030795,1.03487,0.984838,0.97172,1.19554,0.988016
40,q_high,1667,1.67744,0.0124673,0.988132,1.51786,1.61994,0.918309,0.894514,0.699345,0.0980273,-0.058758,0.988202,0.98776,0.990228,1.17975,0.981932
40,q_low_mchirp_low,1241,1.28355,0.0122284,0.909108,1.5876,1.53125,0.595403,0.907518,0.745998,0.0193912,0.0342357,1.1565,0.984662,0.964424,1.20975,0.975541
40,q_low_mchirp_high,426,1.79144,0.0113042,0.883293,1.53242,1.61648,-0.738578,0.939237,0.761934,-0.00945821,-0.000303321,1.60655,0.982322,0.992338,1.25356,0.940158
40,q_high_mchirp_low,544,1.30648,0.0157166,1.01543,1.54453,1.62038,0.776213,0.815408,0.671201,0.104464,-0.0666479,0.903575,0.96707,1.00307,1.13845,0.983072
40,q_high_mchirp_high,1123,1.85713,0.0108932,0.974909,1.50494,1.61972,0.687908,0.931223,0.712412,0.0948721,-0.0551571,1.09666,0.995602,0.983037,1.1989,0.980977
45,full,5000,1.54172,0.012277,0.932347,1.53048,1.57243,0.908358,0.904886,0.731134,0.0834673,-0.00856916,0.986615,0.983898,0.982712,1.18146,1.00041
45,snr_low,1667,2.26161,0.0151012,0.86883,1.52254,1.54465,0.812031,0.834423,-1.12866,0.103935,-0.0246948,0.940229,0.978999,1.50905,1.12095,1.05488
45,snr_mid,1666,1.34524,0.0114491,1.06648,1.52742,1.57955,0.941946,0.929557,-1.8178,0.0817577,-0.00697137,0.995547,0.988355,1.98534,1.21578,0.975308
45,snr_high,1667,1.01818,0.0102802,0.861813,1.54147,1.5931,0.967377,0.949679,-1.12422,0.0647815,0.00448922,1.01875,0.984392,1.54716,1.20291,0.972384
45,mchirp_low,2500,1.26149,0.0135179,0.939288,1.56008,1.54445,0.731862,0.874436,0.723868,0.0618714,0.0124912,1.03773,0.979877,0.982982,1.16473,1.00168
45,mchirp_high,2500,1.82195,0.011036,0.925406,1.50087,1.60042,0.677731,0.935428,0.73829,0.105313,-0.0299489,1.07647,0.987646,0.982099,1.19812,0.999134
45,merger_early,2500,1.52172,0.0124273,0.94508,1.53741,1.58087,0.910443,0.587991,0.717801,0.092018,-0.00368077,0.994611,1.09109,0.986118,1.13711,1.00172
45,merger_late,2500,1.56171,0.0121266,0.919613,1.52354,1.56399,0.90628,0.65558,0.74411,0.0745649,-0.013648,0.978477,1.07229,0.979433,1.22579,0.999083
