iota_rad,cos_iota_sign,winner,ratio,corr_A,corr_B
0.8769694045604532,+,combo_B,1.1889894836542438,0.2627617054956307,0.31242090454135846
0.9075979010256552,+,combo_B,1.1605714572132595,0.2716031656768263,0.31521488177328866
0.9382263974908571,+,combo_B,1.129302948767564,0.27555976776964425,0.3111904583039644
0.9688548939560591,+,combo_B,1.1006516153928538,0.28642959983622346,0.31525920175606803
0.9994833904212611,+,combo_B,1.2013007284585895,0.2597290378703597,0.3120126823955117
1.030111886886463,+,combo_B,1.1721784788732057,0.26761901772496477,0.3136972531143907
1.060740383351665,+,combo_B,1.1165178513132377,0.27628558347979576,0.3084777860156857
1.091368879816867,+,combo_B,1.1881438527955208,0.26603767421070224,0.31609102722546334
1.121997376282069,+,combo_B,1.0799485797682271,0.28773339782926177,0.3107372743375975
1.152625872747271,+,combo_B,1.1924379308857818,0.26585253381647134,0.3170126453448554
1.1832543692124728,+,combo_B,1.134318214162217,0.2766239745931458,0.31377961285495165
1.2138828656776748,+,combo_B,1.142574804930821,0.27384237226578256,0.3128853950733698
1.2445113621428767,+,combo_B,1.122256133592808,0.2775389634508066,0.31146980404365787
1.2751398586080789,+,combo_B,1.1259550747022897,0.2758692995551332,0.3106164377886683
1.3057683550732808,+,combo_B,1.125792537928809,0.2765096436645565,0.31129249350291166
1.3363968515384828,+,combo_B,1.1608787716907407,0.2690589098894459,0.3123447768249097
1.3670253480036847,+,combo_B,1.1010487720289237,0.27420923291019633,0.30191773917476483
1.3976538444688866,+,combo_B,1.1431653012072776,0.26822097987776167,0.3066209172520725
1.4282823409340886,+,combo_B,1.057193934031779,0.27698457544827937,0.2928264129842886
1.4589108373992905,+,combo_B,1.1111443664367342,0.2667269869799705,0.29637218895943834
1.4895393338644927,+,combo_B,1.1026611010201994,0.27209849543408715,0.30003242656129026
1.5201678303296946,+,combo_B,1.0385021727246653,0.2712857223166271,0.2817308120549975
1.5507963267948965,+,combo_B,1.06687378414893,0.2762704852380836,0.29474573803461535
1.5907963267948966,−,combo_A,1.0506838565859085,0.287505323678624,0.2736363768001953
1.6214248232600985,−,combo_A,1.0075350541174941,0.2892133979930803,0.28705045726315104
1.6520533197253005,−,combo_A,1.0737146679330618,0.2916939581996052,0.27166803892241337
1.6826818161905024,−,combo_A,1.098369267464258,0.2970567720018583,0.2704525525260336
1.7133103126557045,−,combo_A,1.1319275735984728,0.3052932942213632,0.2697109791669935
1.7439388091209065,−,combo_A,1.0461110919758645,0.29769099982986935,0.28456920313080625
1.7745673055861084,−,combo_A,1.0890966021206525,0.3079262605044921,0.282735489124572
1.8051958020513104,−,combo_A,1.1109448788782967,0.3064805510875104,0.2758737691801225
1.8358242985165123,−,combo_A,1.1008345026073605,0.3059127125693619,0.27789164660518745
1.8664527949817145,−,combo_A,1.073895968614672,0.3076506282744751,0.28648084848604566
1.8970812914469164,−,combo_A,1.146258398363969,0.3121174844646655,0.2722924297960603
1.9277097879121183,−,combo_A,1.0979498598685227,0.312159246204478,0.28431102149041526
1.9583382843773203,−,combo_A,1.096551743174594,0.3129158667836651,0.2853635213581001
1.9889667808425222,−,combo_A,1.0739309926577294,0.312803749125639,0.2912698779197372
2.019595277307724,−,combo_A,1.1136069219613605,0.31147240229544204,0.27969689856709545
2.050223773772926,−,combo_A,1.1582631178033849,0.3158737076767668,0.27271325730876494
2.080852270238128,−,combo_A,1.131654235504489,0.3131931890944921,0.27675696274389966
2.11148076670333,−,combo_A,1.1114326711328013,0.3160769631984851,0.2843869641481127
2.142109263168532,−,combo_A,1.156542274072169,0.3131058942175954,0.27072585346591266
2.1727377596337343,−,combo_A,1.14338489641138,0.3135792828093337,0.2742552256843094
2.2033662560989358,−,combo_A,1.1883673813400082,0.31668665229348153,0.26648884618188046
2.233994752564138,−,combo_A,1.1390806234483912,0.31438289318215884,0.27599705122751805
2.26462324902934,−,combo_A,1.1481640101965365,0.3147726873559909,0.2741530692136133
2.295251745494542,−,combo_A,1.1452905786070546,0.3138243887383902,0.2740128964651706
2.325880241959744,−,combo_A,1.152797770903782,0.31272916742502155,0.27127842828828946
2.356508738424946,−,combo_A,1.1521719461615232,0.3132633788431389,0.2718894344605249
2.387137234890148,−,combo_A,1.1599680973197655,0.31491057553173135,0.2714821004641137
2.41776573135535,−,combo_A,1.2161114229954622,0.3156668222777647,0.2595706415619637
2.4483942278205517,−,combo_A,1.242501722286212,0.317704887792249,0.25569774439239384
2.4790227242857537,−,combo_A,1.2665788565248317,0.3132797742149681,0.24734328431356234
2.5096512207509556,−,combo_A,1.2672984569274963,0.3171065534157219,0.2502224726009147
2.5402797172161575,−,combo_A,1.4276236597120595,0.31762482022586747,0.22248497919257648
2.57090821368136,−,combo_A,1.4358535143246847,0.3126732274917551,0.2177612300784127
2.6015367101465614,−,combo_A,1.5225033771478356,0.3176391060242202,0.20862949192222208
2.632165206611764,−,combo_A,1.5945088724835408,0.3185274715656545,0.1997652550340026
2.6627937030769653,−,combo_A,1.569067016929228,0.31424759978037303,0.20027672265737712
2.6934221995421677,−,combo_A,1.6006502222129644,0.31541238838727714,0.19705266273052874
2.7240506960073696,−,combo_A,1.5662847246085054,0.3139879986482781,0.20046674382702656
2.7546791924725715,−,combo_A,1.5992655287578168,0.31614605525716544,0.19768202938928017
2.7853076889377735,−,combo_A,1.6260075003942036,0.3180294754629096,0.19558918109898488
2.8159361854029754,−,combo_A,1.6145557238800707,0.31749507424558165,0.19664547314761197
2.8465646818681773,−,combo_A,1.6376537368981758,0.3196190172131934,0.195168862630615
2.8771931783333793,−,combo_A,1.6145008513118462,0.31470361291850546,0.19492316319486375
2.9078216747985817,−,combo_A,1.6237271638146908,0.31637129117891916,0.19484264242747207
2.938450171263783,−,combo_A,1.6081810873185625,0.31333651468106094,0.1948390744996944
2.9690786677289855,−,combo_A,1.6025225217059822,0.31238521821607446,0.19493343399849475
2.999707164194187,−,combo_A,1.6187782746936548,0.31564679132364437,0.19499075090032256
3.0303356606593894,−,combo_A,1.6160165054804887,0.31502465778999267,0.19493901004205813
3.0609641571245914,−,combo_A,1.6224450984521808,0.3162836655647915,0.19494259982450401
3.0915926535897933,−,combo_A,1.604593143627232,0.3128039342022242,0.19494283360523484
# bootstrap cos_ι_>_0,,combo_B,1.172,"CI=[1.107,1.244]",
# bootstrap cos_ι_<_0,,combo_A,1.190,"CI=[1.123,1.265]",
