epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_ra,mae_declination,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_ra,r2_declination,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_ra,std_ratio_declination,std_ratio_coa_phase
25,mchirp_low,2500,1.16593,0.0141261,0.958153,1.56255,0.52713,1.56552,0.773848,0.866335,0.711105,0.0144981,0.0487822,-0.00382894,1.01801,0.963416,0.981639,0.841819,0.656077,1.01867
25,mchirp_high,2500,1.7202,0.0112643,0.926881,1.53474,0.523259,1.58272,0.690644,0.934787,0.736916,0.00421864,0.0920035,-0.00940336,1.07894,0.973519,0.974312,0.946732,0.631919,0.984741
25,merger_early,2500,1.45057,0.012656,0.950542,1.5547,0.521076,1.59033,0.914829,0.578602,0.716936,0.0155859,0.0876361,-0.00942717,0.990328,1.08061,0.984328,0.804904,0.637123,1.02639
25,merger_late,2500,1.43556,0.0127344,0.934492,1.54259,0.529313,1.5579,0.916009,0.630782,0.731057,0.00290184,0.0527788,-0.00338037,0.985456,1.08197,0.972173,0.979759,0.652998,0.978857
25,q_low,1667,1.25793,0.0123395,0.912422,1.55886,0.516811,1.59094,0.827548,0.906667,0.741277,0.0203689,0.0932254,-0.00727303,1.06901,0.969532,0.981407,0.83694,0.653919,0.974786
25,q_mid,1666,1.41552,0.0130423,0.91963,1.55659,0.526595,1.5835,0.907469,0.896861,0.739326,-0.029321,0.0629681,-0.0250499,1.03867,0.964986,0.970383,0.924643,0.64224,1.02234
25,q_high,1667,1.65572,0.012704,0.995486,1.5305,0.532179,1.54793,0.912515,0.897769,0.690781,0.0354212,0.0558314,0.012715,0.983171,0.971018,0.983282,0.918783,0.640143,1.01242
25,q_low_mchirp_low,1241,1.17129,0.0125888,0.912023,1.56877,0.511622,1.56611,0.662115,0.901145,0.741168,0.0331973,0.0722318,0.00342025,1.14141,0.966693,0.973755,0.832983,0.661675,0.981848
25,q_low_mchirp_high,426,1.51035,0.0116132,0.913583,1.52997,0.531927,1.66328,-0.240707,0.923042,0.741599,-0.0263236,0.146876,-0.0381036,1.45768,0.978122,1.00341,0.850903,0.63125,0.950855
25,q_high_mchirp_low,544,1.26283,0.0166577,1.05795,1.53967,0.564149,1.54204,0.783772,0.80344,0.637453,0.0345127,-0.055983,0.0219058,0.882806,0.94691,0.98907,0.824289,0.63904,1.05329
