epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_ra,mae_declination,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_ra,r2_declination,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_ra,std_ratio_declination,std_ratio_coa_phase
20,q_low_mchirp_low,1241,1.57452,0.0148421,0.931977,1.5492,0.524216,1.58389,0.447027,0.878132,0.738195,0.0508126,0.1042,-0.0166546,1.13831,0.944264,0.931332,0.984847,0.451815,1.06913
20,q_low_mchirp_high,426,1.72988,0.0136904,0.897363,1.5196,0.547432,1.57826,-0.527677,0.89925,0.751524,0.0113617,0.135962,0.0482859,1.45651,0.97796,0.935583,1.03151,0.447919,1.03028
20,q_high_mchirp_low,544,1.47291,0.0188248,1.07142,1.52377,0.556622,1.59015,0.716557,0.793323,0.649503,0.0528029,0.0583209,-0.0201692,0.865527,0.901109,0.942302,0.989091,0.391501,1.081
20,q_high_mchirp_high,1123,2.2396,0.0128103,0.939504,1.58654,0.550044,1.59558,0.524968,0.91802,0.728108,-0.0169539,0.0718882,-0.0329694,1.05406,0.963874,0.930972,1.00289,0.438286,1.09823
25,full,5000,1.6979,0.0149415,0.924896,1.56366,0.56709,1.58034,0.880709,0.873715,0.742099,-0.0052415,-0.0362566,-0.00973248,0.924038,0.954575,0.895384,1.01361,0.599714,1.05013
25,snr_low,1667,2.57282,0.0181516,0.953668,1.56541,0.580684,1.59555,0.740137,0.801828,-1.4603,-0.00199771,-0.104035,-0.0819128,0.823603,0.923953,1.4009,1.0131,0.530164,1.09335
25,snr_mid,1666,1.48732,0.0140084,0.980413,1.54277,0.565204,1.57693,0.928919,0.893049,-1.37402,0.00618021,-0.061172,0.0210949,0.936768,0.968084,1.8137,1.02898,0.613137,1.01926
25,snr_high,1667,1.03342,0.012664,0.840642,1.58279,0.555379,1.56855,0.967705,0.92527,-0.962528,-0.0198021,0.0490477,0.0259627,0.994335,0.970718,1.38401,0.998711,0.64382,1.03931
25,mchirp_low,2500,1.30913,0.0167121,0.950142,1.5633,0.559295,1.59059,0.728947,0.837412,0.728171,0.00849316,-0.0288039,-0.028452,0.953866,0.939918,0.902512,1.01799,0.593017,1.04277
25,mchirp_high,2500,2.08667,0.013171,0.89965,1.56402,0.574884,1.5701,0.536747,0.910124,0.755839,-0.0195972,-0.0440782,0.00832565,1.0271,0.968817,0.888323,1.0085,0.606295,1.05537
25,merger_early,2500,1.7454,0.0153222,0.943083,1.56498,0.56258,1.57924,0.872239,0.444529,0.729272,-0.00320406,-0.0130577,-0.00149096,0.9216,1.08014,0.901887,1.00847,0.601389,1.04154
25,merger_late,2500,1.65039,0.0145609,0.906709,1.56234,0.571599,1.58145,0.889079,0.550589,0.754583,-0.0077676,-0.0609665,-0.0182228,0.925361,1.08226,0.889027,1.01903,0.59492,1.05814
25,q_low,1667,1.28815,0.0149137,0.922522,1.56766,0.558246,1.58533,0.815126,0.878076,0.746926,0.0091946,-0.0125239,0.00124592,1.02043,0.958454,0.897186,1.00765,0.605918,1.04862
